vehicle_id,start_ts,end_ts,delta_battery_pct,ignition_state
,2022-01-27 15:30:09,2022-01-27 17:24:24,11.0,unknown
,2022-01-28 11:57:43,2022-01-28 17:59:14,39.6,off
,2022-01-29 10:35:35,2022-01-29 16:27:16,36.50000000000001,off
,2021-09-02 04:40:41,2021-09-02 07:19:55,unknown,on
,2021-09-03 02:48:57,2021-09-03 05:14:37,unknown,off
,2021-09-04 00:49:24,2021-09-04 03:05:36,unknown,off
,2021-09-07 22:40:39,2021-09-08 00:34:58,unknown,off
,2021-10-11 21:52:22,2021-10-12 00:11:43,unknown,off
,2021-12-05 09:35:48,2021-12-05 13:14:25,32.900000000000006,off
,2021-12-07 03:43:15,2021-12-07 05:15:52,unknown,off
,2021-12-10 03:32:11,2021-12-10 07:00:52,unknown,off
,2021-12-11 08:28:03,2021-12-11 11:42:44,unknown,off
,2022-01-06 05:39:49,2022-01-06 08:49:32,33.3,off
,2022-01-13 20:43:00,2022-01-13 22:09:55,15.300000000000011,off
,2021-09-13 02:15:46,2021-09-14 03:09:52,30.199999999999996,on
,2021-10-02 00:50:09,2021-10-02 02:01:13,unknown,unknown
,2021-10-07 08:31:09,2021-10-07 10:08:35,80.39999999999999,off
,2021-10-15 14:55:39,2021-10-15 15:54:15,unknown,on
,2021-10-21 15:50:17,2021-10-21 16:12:32,unknown,unknown
,2021-10-25 16:25:19,2021-10-25 17:23:01,40.4,on
,2021-11-06 17:16:56,2021-11-06 18:05:26,34.099999999999994,unknown
,2021-11-12 15:53:41,2021-11-12 16:43:31,33.300000000000004,unknown
,2021-11-17 12:45:50,2021-11-17 14:14:29,85.1,off
,2021-11-22 13:32:48,2021-11-22 14:53:43,82.4,off
,2021-11-23 12:45:14,2021-11-23 14:13:42,85.1,on
,2021-11-24 13:48:52,2021-11-24 15:13:26,80.8,on
,2021-11-24 16:26:36,2021-11-24 16:58:54,15.300000000000011,off
,2021-11-28 11:25:25,2021-11-28 12:51:50,85.89999999999999,on
,2021-11-29 14:09:16,2021-11-29 15:38:56,83.10000000000001,on
,2021-11-30 14:38:46,2021-11-30 16:10:29,87.10000000000001,unknown
,2021-12-02 14:32:50,2021-12-02 15:05:18,18.400000000000006,unknown
,2021-12-03 13:22:51,2021-12-03 14:02:44,28.200000000000003,unknown
,2021-12-04 14:35:44,2021-12-04 16:15:35,91.0,unknown
,2021-12-05 15:34:34,2021-12-05 17:02:49,85.5,unknown
,2021-12-06 14:46:09,2021-12-06 16:00:26,74.5,on
,2021-12-07 14:33:00,2021-12-07 16:06:58,82.0,off
,2021-12-10 03:12:57,2021-12-10 04:05:52,unknown,off
,2021-12-11 02:11:41,2021-12-11 06:25:59,38.49999999999999,on
,2022-01-06 03:37:32,2022-01-06 09:22:52,unknown,off
,2022-01-16 00:17:04,2022-01-17 03:56:54,36.1,off
,2022-01-18 08:37:16,2022-01-18 14:02:07,unknown,off
,2022-01-21 06:49:45,2022-01-21 22:11:31,unknown,off
,2022-01-24 04:56:54,2022-01-25 11:22:25,unknown,off
,2022-01-29 07:07:13,2022-01-29 13:46:40,unknown,off
,2022-01-30 05:07:01,2022-01-30 15:28:10,unknown,off
,2021-09-08 00:40:49,2021-09-08 04:23:00,unknown,off
,2021-10-06 23:45:22,2021-10-07 00:53:46,unknown,on
,2021-10-15 02:38:34,2021-11-22 22:22:30,unknown,off
,2021-12-01 05:04:08,2021-12-01 06:25:20,unknown,off
,2021-12-02 03:35:19,2021-12-02 04:50:56,unknown,off
,2022-01-29 01:27:24,2022-01-29 04:59:33,unknown,off
,2021-09-02 07:45:25,2021-09-02 14:57:58,unknown,off
,2021-09-28 23:01:44,2021-09-29 03:32:01,unknown,off
,2021-09-03 19:45:44,2021-09-03 21:59:15,unknown,off
,2021-09-08 20:05:02,2021-09-08 22:30:28,unknown,off
,2021-09-15 21:48:34,2021-09-16 00:45:59,unknown,off
,2021-10-19 05:16:26,2021-10-19 05:24:48,unknown,off
,2021-10-20 20:38:26,2021-10-20 23:51:55,unknown,off
,2021-11-10 20:57:38,2021-11-11 01:41:25,unknown,off
